Item name and description,Qty.,Status (In Use/ Stock),Details,Sterile / Non-sterile,Disposable / Reusable,Location,Location 2
"Serological Pipette 25ml",95,"Stock","25 ml","Sterile","Disposable","Shelf L","Shelf 1"
"Serological Pipette 10ml",87,"Stock","10ml","Sterile","Disposable","Shelf L","Shelf 1"
"Serological Pipette 5 ml",265,"Stock","5ml","Sterile","Disposable","Shelf L","Shelf 1"
"Syringes",121,"Stock","10ml","Sterile","Disposable","Shelf L","Shelf 2"
"Pipette tips 10ul",8,"Stock","10ul","Sterile","Disposable","Shelf L","Shelf 2"
"Pipette tips 200ul",3,"Stock","200ul","Sterile","Disposable","Shelf L","Shelf 2"
"Pipette tips 1000ul",2,"Stock","1000ul","Sterile","Disposable","Shelf L","Shelf 2"
"Cell culture flasks (blue)",10,"Stock","","Sterile","Disposable","Shelf L","Shelf 2"
"Cell culture flasks (orange)",70,"Stock","Sterile&Non-Pyrogenic","Sterile","Disposable","Shelf L","Shelf 2"
"Petri dishes",130,"Stock","90mm x 15mm","Sterile","Disposable","Shelf L","Shelf 2"
"Transfer pipette",400,"Stock","3ml","Sterile","Disposable","Shelf L","Shelf 2"
"Centrifuge tubes",3,"Stock","50ml","Sterile","Disposable","Shelf L","Shelf 3"
"Cell culture flask",30,"Stock","250ml","Sterile","Disposable","Shelf L","Shelf 3"
"Centrifuge tubes",250,"Stock","15ml","Sterile","Disposable","Shelf L","Shelf 3"
"Cell culture plate",49,"Stock","Flat bottom with lid","Sterile","Disposable","Shelf L","Shelf 3"
"Paper",4,"Stock","","Non-sterile","Reusable","Shelf L","Shelf 4"
"Peristaltic pump",1,"In Use","Pump Head YZ1515x","Non-sterile","Reusable","Shelf L","Shelf 4"
"Cuvettes",2,"Stock","100/set","Non-sterile","Disposable","Shelf L","Shelf 4"
"Black gloves(S)",2,"Stock","Nitrile-vinile","Non-sterile","Disposable","Shelf L","Shelf 4"
"Black gloves(M)",3,"Stock","Nitrile-vinile","Non-sterile","Disposable","Shelf L","Shelf 4"
"Black gloves(L)",1,"Stock","Nitrile-vinile","Non-sterile","Disposable","Shelf L","Shelf 4"
"Cell culture flask",1,"Stock","250ml","Sterile","Disposable","Shelf R","Shelf 1"
"Pasteur pipette",1000,"Stock","100/pack","Sterile","Disposable","Shelf R","Shelf 1"
"Pipette tips",7,"Stock","1000ul","Sterile","Disposable","Shelf R","Shelf 1"
"Centrifuge Tube",1,"Stock","2ml","Sterile","Disposable","Shelf R","Shelf 1"
"Microcentrifuge Tube",1,"Stock","0.5 ml","Non sterile","Disposable","Shelf R","Shelf 1"
"Centrfuge Tube Adapters",30,"Stock","","Non sterile","Reusable","Shelf R","Shelf 1"
"Scintillation vials",20,"Stock","20 ml","Non sterile","Disposable","Shelf R","Shelf 1"
"Specimen Containers",30,"Stock","100 ml","Sterile","Disposable","Shelf R","Shelf 2"
"Specimen Containers",7,"Stock","100 ml","None-Sterile","Disposable","Shelf R","Shelf 2"
"Pipette tips",1,"Stock","1000ul","Sterile","Disposable","Shelf R","Shelf 2"
"Petri dishes",10,"Stock","10/pack","Sterile","Disposable","Shelf R","Shelf 2"
"Lab coat",4,"Stock","","Non-sterile","Reusable","Shelf R","Shelf 2"
"Sodium Chloride Solution 0.9%",16,"Stock","non-pyrogenic","Sterile","Disposable","Shelf R","Shelf 2"
"Centrifuge tube (blue)",100,"Stock","50 ml","Sterile","Disposable","Shelf R","Shelf 3"
"Centrifuge tube(green)",100,"Stock","50 ml","Sterile","Disposable","Shelf R","Shelf 3"
"Cell culture flask",20,"Stock","250ml","Sterile","Disposable","Shelf R","Shelf 3"
"Pipette tips 0.2 ml (Yellow)",1000,"Stock","200ul","Sterile","Disposable","Shelf R","Shelf 3"
"Pipette tips 1 ml (blue)",2000,"Stock","1000ul","Sterile","Disposable","Shelf R","Shelf 3"
"Centrifuge tube",1,"Stock","15ml","Sterile","Disposable","Shelf R","Shelf 3"
"Centrifuge tube 50ml",1,"Stock","50ml","Sterile","Disposable","Shelf R","Shelf 3"
"Cell culture plate",19,"Stock","6 well","Sterile","Disposable","Shelf R","Shelf 4"
"Cell culture plate",27,"Stock","Tissue culture treated","Sterile","Disposable","Shelf R","Shelf 4"
"Cell culture flasks (orange)",80,"Stock","Sterile&Non-Pyrogenic","Sterile","Disposable","Shelf R","Shelf 4"
"Glass Bottom Dish",16,"Stock","30mm x 10mm","Sterile","Disposable","Shelf R","Shelf 4"
"Cell Strainer",17,"Stock","100 um","Sterile","Disposable","Shelf R","Shelf 4"
"Reagent Reservoir",42,"Stock","Plastic","Sterile","Disposable","Shelf R","Shelf 4"
"Graduated cylinder",2,"In Use","100 ml","Non-Sterile","Reusable","Wall Cabinet 2",""
"Graduated cylinder",1,"In Use","50 ml","Non-Sterile","Reusable","Wall Cabinet 2",""
"Graduated cylinder",1,"In Use","10 ml","Non-Sterile","Reusable","Wall Cabinet 2",""
"Graduated cylinder",1,"In Use","250 ml","Non-Sterile","Reusable","Wall Cabinet 2",""
"Graduated cylinder",1,"In Use","500 ml","Non-Sterile","Reusable","Wall Cabinet 2",""
"Beaker",1,"In Use","2000 ml","Non-Sterile","Reusable","Wall Cabinet 2",""
"Beaker",1,"In Use","1000 ml","Non-Sterile","Reusable","Wall Cabinet 2",""
"Beaker",3,"In Use","400 ml","Non-Sterile","Reusable","Wall Cabinet 2",""
"Beaker",5,"In Use","150 ml","Non-Sterile","Reusable","Wall Cabinet 2",""
